Title,Author,Date,Type,Conf.Density,Number of Replicas,Avg. Length of Replicas,Max. Length of Replicas,Min. Length of Replicas,Med. Length of Replicas
Halle,Arnim Ludwig Achim von,{'notAfter': '1831' 'notBefore': '1781'},Schauspiel,0.052795031055900624,1282,32.6201248049922,774,1,20.0
Das Loch,Arnim Ludwig Achim von,{'when': '1811'},Schauspiel,0.1425339366515837,242,22.223140495867767,153,3,15.5
Der Rauchfangkehrer,Auenbrugger Johann Leopold von,{'notAfter': '1781' 'notBefore': '1722'},Komoedie,0.10342857142857143,736,14.55163043478261,154,1,9.0
Der Postzug oder die noblen Passionen,Ayrenhoff Cornelius Hermann von,{'notAfter': '1802' 'notBefore': '1733'},,0.18045112781954886,721,17.105409153952845,219,1,12
Virginia oder das abgeschaffte Decemvirat,Ayrenhoff Cornelius Hermann von,{'notAfter': '1802' 'notBefore': '1733'},Trauerspiel,0.18275862068965518,503,26.232604373757454,487,1,12
Die Jubelfeier der Hölle oder Faust der jüngere,Benkowitz Karl Friedrich,{'notAfter': '1801' 'notBefore': '1764'},Schauspiel,0.08579234972677596,988,23.516194331983804,215,1,16.0
Der Bookesbeutel,Borkenstein Hinrich,{'notAfter': '1777' 'notBefore': '1705'},Komoedie,0.3374485596707819,562,30.729537366548044,272,1,18.0
Der hochmütige gestürzte und wieder erhabene Croesus,Bostel Lukas von,{'notAfter': '1711' 'notBefore': '1649'},Komoedie,0.12228260869565218,544,14.443014705882353,170,1,9.0
Ponce de Leon,Brentano Clemens,{'when': '1801'},Komoedie,0.07133536320139192,1740,17.933333333333334,261,1,12.0
Belmont und Constanze,Bretzner Christoph Friedrich,{'notAfter': '1781' 'notBefore': '1746'},Komoedie,0.14049586776859505,417,16.06474820143885,105,1,11
Der Mißtrauische,Cronegk Johann Friedrich von,{'notAfter': '1758' 'notBefore': '1731'},Komoedie,0.34285714285714286,697,32.9454806312769,261,1,23
Eid und Pflicht,Engel Johann Jakob,{'when': '1776'},Trauerspiel,0.19542619542619544,652,22.608895705521473,249,1,11.0
Die Betschwester,Gellert Christian Fürchtegott,{'notAfter': '1769' 'notBefore': '1715'},Komoedie,0.456,414,42.64975845410628,284,1,34.0
Die zärtlichen Schwestern,Gellert Christian Fürchtegott,{'notAfter': '1769' 'notBefore': '1715'},Komoedie,0.27358490566037735,608,35.52796052631579,180,1,25.5
Der deutsche Hausvater oder die Familie,Gemmingen-Hornberg Otto Heinrich von,{'notAfter': '1836' 'notBefore': '1755'},Schauspiel,0.13448275862068965,216,17.949074074074073,155,1,11.0
Evander und Alcimna,Gessner Salomon,{'when': '1762'},Schauspiel,0.18421052631578946,307,26.80130293159609,574,1,15
Des Epimenides Erwachen,Goethe Johann Wolfgang,{'notAfter': '1832' 'notBefore': '1749'},Schauspiel,0.08933333333333333,113,43.415929203539825,273,1,26
Die natürliche Tochter,Goethe Johann Wolfgang,{'when': '1799'},Trauerspiel,0.19155844155844157,565,32.9575221238938,345,1,15
Der Großkophta,Goethe Johann Wolfgang,{'notAfter': '1832' 'notBefore': '1749'},Komoedie,0.08815958815958816,892,22.391255605381165,578,1,10.0
Iphigenie auf Tauris,Goethe Johann Wolfgang,{'notAfter': '1832' 'notBefore': '1749'},Trauerspiel,0.38,311,46.0096463022508,386,1,20
Torquato Tasso,Goethe Johann Wolfgang,{'notAfter': '1788' 'notBefore': '1780'},Schauspiel,0.4083333333333333,420,57.05952380952381,610,1,33.0
Atalanta oder die bezwungene Sprödigkeit,Gottsched Johann Christoph,{'notAfter': '1766' 'notBefore': '1700'},Schauspiel,0.34594594594594597,495,27.775757575757577,476,1,19
Der sterbende Cato,Gottsched Johann Christoph,{'when': '1730'},,0.17511520737327188,273,50.336996336996336,432,1,28
Der Dorfjahrmarkt,Gotter Friedrich Wilhelm,{'notAfter': '1778' 'notBefore': '1746'},Komoedie,0.1536,654,13.492354740061161,154,1,9.0
Die Pietisterey im Fischbein-Rocke,Gottsched Luise Adelgunde Victorie,{'notAfter': '1762' 'notBefore': '1713'},Komoedie,0.15,1002,18.327345309381236,144,1,12.0
Das Testament,Gottsched Luise Adelgunde Victorie,{'notAfter': '1762' 'notBefore': '1713'},Komoedie,0.2517482517482518,1111,18.08190819081908,172,1,14
Leo Armenius,Gryphius Andreas,{'when': '1646'},Trauerspiel,0.10396975425330812,557,34.77019748653501,1029,1,10
Der Furchtsame,Hafner Philipp,{'notAfter': '1764' 'notBefore': '1735'},Komoedie,0.2131782945736434,597,32.040201005025125,382,1,19
Mägera die förchterliche Hexe,Hafner Philipp,{'notAfter': '1763' 'notBefore': '1762'},Komoedie,0.22708333333333333,591,31.28087986463621,431,1,20
Die Teufelsmühle am Wienerberg,Hensler Karl Friedrich,{'notAfter': '1825' 'notBefore': '1759'},Schauspiel,0.07974137931034483,652,17.863496932515336,152,1,13.0
Der Spieler,Iffland August Wilhelm,{'notAfter': '1814' 'notBefore': '1759'},Schauspiel,0.13005050505050506,1485,12.603367003367003,132,1,8
Verbrechen aus Ehrsucht,Iffland August Wilhelm,{'notAfter': '1814' 'notBefore': '1759'},Komoedie,0.10529556650246305,1180,14.950847457627118,183,1,8.0
Amphitryon,Kleist Heinrich von,{'when': '1806'},Komoedie,0.16666666666666666,784,20.966836734693878,696,1,12.0
Das Käthchen von Heilbronn oder die Feuerprobe,Kleist Heinrich von,{'notAfter': '1808' 'notBefore': '1807'},Schauspiel,0.06095791001451379,1246,16.014446227929373,602,1,7.0
