sentiWS	nrcPositive	nrcNegative	anger	anticipation	disgust	fear	joy	sadness	surprise	trust	emotion	arousel	cdPositive	cdNegative	cdNeutral	gpcPositive	gpcNegative	gpcNeutral
Portwein	0	0	0	0	0	0	0	0	0	0	0	1.1	2.166666667	0	0	0	0	0	0
verknusen	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.7	0.0	0	0	0
Reibkraft	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
nieder	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.7	0.0	0	0	0
Disziplinlosigkeit	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	0.0	0	0	0
Bläschenbildung	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Höhlenmensch	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
krankenhausreif	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	0.0	0	0	0
fitest	0.3686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
erstrebenswertestes	0.0765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reformierung	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	0.0	0	0	0
Ehebrüchen	-0.4743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
stiftte	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
durchschlagendster	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
schlagendere	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
einheitlichst	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
besorgniserregend	-0.3281	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	0.0	0	1	0
aufmuntertet	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
neidischeren	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
neidischerem	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
neidischeres	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
neidischerer	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wegschicken	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.7	0.0	0	0	0
aufmunterten	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unmenschlichkeit	-0.0048	0	1	0	0	0	0	0	1	0	0	0	0	0.0	1.0	0.0	0	1	0
Rücktritt	-0.0048	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
nährend	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Dissident	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
tröstetest	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
melancholischstem	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
melancholischsten	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sippe	0	0	0	0	0	0	0	0	0	0	0	-0.5	2.444444444	0	0	0	0	0	0
Blumenpracht	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7	0.0	0.0	0	0	0
melancholischstes	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
melancholischster	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dauerkonflikt	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.7	0.0	0	0	0
glaubwürdig	0.0893	1	0	0	0	0	0	0	0	0	1	0	0	1.0	0.0	0.0	1	0	0
leutseligerem	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
leutseligeren	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Beifallsrufen	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anerkenntnis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Beifallsrufes	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mißliebig	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	0.0	0	0	0
Knacki	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
leutseligeres	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
leutseligerer	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lokalisieren	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
garstigst	-0.0425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Börse	0	0	0	0	0	0	0	0	0	0	0	-0.647058824	2.052631579	0	0	0	0	0	0
willkommner	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Widersinnigkeit	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	0.0	0	0	0
ruinöseren	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ruinöserem	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
achtlose	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ruinöseres	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ruinöserer	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sehnsüchtig	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Albernheit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Mangel	-0.3669	0	1	1	0	1	1	0	1	0	0	-1.9	3.0625	0.0	1.0	0.0	0	1	0
golden	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
danktest	0.191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
anheben	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wohlwollend	0.004	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	0.0	1	0	0
Revolver	0	0	0	0	0	0	0	0	0	0	0	-2.14	4.14	0	0	0	0	0	0
zerbrechen	-0.0522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
stern	0	1	0	0	1	0	0	1	0	0	1	1.0	2.444444444	0	0	0	1	0	0
gediegnere	0.0831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Beruhigungsmittel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
geistloserem	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
geistloseren	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
reckenhaft	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.7	0.0	0	0	0
Mannschaft	0	0	0	0	0	0	0	0	0	0	1	0.382352941	2.523809524	0	0	0	0	0	0
Gemeinschaft	0.004	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
Hexenschuss	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	0.0	0	0	0
Herumtoben	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
drängtest	-0.3516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
geistloserer	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
geistloseres	-0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unfehlbarerer	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
