Title: Nathan der Weise
Number of all lemmas: 10391
Nummber of different lemmas: 3174

Lemma	POS	Frequency	Tokens
wohl	ADV, ADJD, PTKVZ	164	wohl, Wohl
gut	ADJD, ADJA	122	gut, besser, guter, gute, guten, Guter, besten, beste, Gut, Gutes, best
wissen	VVFIN, VVINF	117	wißt, Weiß, weiß, wisse, wissen, wüßte, Wißt, wußte
Gott	NN	99	Gott, Gottes
Vater	NN	98	Vaters, Vater, Vätern, Väter
sagen	VVIMP, VVINF, VVFIN, VVPP	97	Sag, sag, sagen, sagt, sagst, Sagt, sage, gesagt, Gesagt, sagte, sagest, sagtet, Sagtest
Nathan	NE	92	Nathan
Bruder	NN	76	Brüder, Bruder, Bruders
euer	PPOSAT	66	Euer, Eure, euer, eure, Eurem, Eures, Eurer
sehen	VVIMP, VVFIN, VVINF, VVPP	60	sieh, sahen, sehen, seht, Sieh, sehe, Seht, sieht, sah, siehst, gesehen
Jude	NN	60	Jude, Juden
gar	ADV	59	gar, Gar
Patriarch	NN	58	Patriarchen, Patriarch
hören	VVINF, VVFIN, VVIMP	58	hören, hört, hör, Hört, hörte, hörst, höre, Hör
Saladin	NE	58	Saladin
Mann	NN, NE	57	Mann, Manne, Mannes, Männer, Männern, Manns
allein	ADV, PTKVZ	56	allein, Allein
erst	ADJA, ADV	55	erste, ersten, Erst, erst, erster
gern	ADV	54	gern, Gern
lieb	ADJD, ADJA	53	lieber, liebes, lieb, liebe, liebsten, liebste, lieben, Lieber
Herr	NN	48	Herrn, Herr, Herren
wär	ADJD, VVFIN	47	wär
Mensch	NN	47	Menschen, Mensch
Sultan	NN	46	Sultan, Sultans
denken	VVINF, VVFIN, VVIMP	46	denken, dachte, Denkt, denkt, denke, dächte, denk, Denk, denkst, dachtet, dächten
nehmen	VVINF, VVIMP, VVFIN, VVPP	46	nehmen, Nimm, nimm, nehmt, Nehmt, genommen, nehme, nahm, Nimmt
kennen	VVINF, VVFIN, VVIMP, VVPP	46	kennen, Kennt, kennt, kenne, Kenn, kennst, gekannt, Kennst, kenn
Tempelherr	NN	44	Tempelherr, Tempelherrn, Tempelherren
Daja	NE	44	Daja
sonst	ADV	44	sonst, Sonst
Christ	NE, NN	44	Christ, Christen
sehnen	VVIMP	42	sehn
Recha	NE, NN	40	Recha
recht	ADJD, PTKVZ	40	rechter, recht, Recht
bald	ADV	40	bald, Bald
