Title: EntireCorpus-Tokens
Number of all tokens: 82976
Nummber of different tokens: 15342

Token	Frequency
Herr	809
wohl	724
schon	520
ja	478
mehr	429
Vater	414
sagen	394
weiß	376
Ja	365
lassen	364
wäre	339
hätte	303
gar	298
Mann	285
ganz	256
eben	255
gut	241
wissen	230
sehen	227
kommen	227
Gott	222
gleich	214
gewiß	210
müssen	208
wahr	202
Liebe	202
wenig	195
Ach	188
recht	187
sei	178
Tochter	177
kömmt	175
allein	174
gern	173
lieber	171
bald	170
Fräulein	169
Freund	167
genug	164
hören	161
immer	160
Herrn	156
Hand	153
ab	152
sollen	151
Sohn	148
geben	147
Mellefont	144
Zeit	142
Herz	142
Prinz	140
erst	136
Augen	136
Welt	136
nehmen	136
geht	135
Major	135
Ha	134
gehen	134
vielleicht	133
lange	131
Wort	129
Lelio	129
glauben	128
Frau	126
Lisette	126
Miß	126
gesagt	124
hast	122
Recht	119
Geld	118
Adrast	118
mag	115
macht	113
Ehre	113
nie	113
ha	113
möchte	113
sprechen	112
besser	112
lieben	111
Marwood	109
denken	109
glaube	109
davon	108
willst	108
Schwester	106
Bruder	106
weit	106
Glück	106
reden	105
Ei	103
Art	101
liebe	100
bringen	99
Mutter	98
finden	98
hätten	97
Leben	97
darauf	96
Brief	96
halten	95
heute	95
Kind	95
kennen	94
Himmel	94
sehe	94
Freundschaft	93
vergessen	93
länger	93
darf	92
Namen	92
Nathan	92
getan	92
Mädchen	91
Sache	91
freilich	90
Leander	90
Unglück	89
bleiben	88
gemacht	87
sage	87
Theophan	86
Ah	85
gehört	85
Augenblick	85
wenigstens	83
Jahr	83
ganze	82
oft	82
Mensch	82
bekommen	81
her	80
Juliane	80
Seele	80
Menschen	80
läßt	80
Marinelli	79
Seite	79
Franziska	79
Je	79
fort	78
beide	78
zurück	77
Valer	77
gute	77
bitte	76
Hause	76
Leute	75
eher	75
glücklich	74
Gut	74
Tellheim	73
endlich	73
Geht	73
Laß	73
höre	73
guten	73
andre	72
weniger	71
itzt	71
Lassen	71
schuldig	71
Julianen	68
versteh	68
Frauenzimmer	68
Lady	67
laß	67
einander	67
erste	66
dabei	66
guter	66
sagt	66
heißt	66
Komm	65
Vaters	65
Dank	64
wären	64
sehn	63
Geh	63
wider	63
Gedanken	63
Wahrheit	63
daran	63
Haus	63
geh	62
je	62
Kommen	62
Vielleicht	61
müßte	61
bloß	61
kannst	61
wirklich	60
Emilia	60
ichs	60
möglich	60
Ring	60
Tag	59
selber	59
kam	59
gehabt	59
Allein	59
etwa	59
Zweifel	58
Vetter	58
Saladin	58
verloren	58
Damis	58
besten	58
Person	57
zwei	57
wär	57
gibt	57
ersten	57
Tage	56
König	56
Jungfer	56
bleibt	56
Freunde	56
Nu	55
ganzen	55
ruhig	55
verlassen	55
steht	55
Vergnügen	54
leicht	54
Tugend	54
darum	54
Taler	53
liegt	53
sollten	52
Vermögen	52
deswegen	51
Kerl	51
Wohl	51
geschwind	51
übel	51
Graf	51
dafür	51
heiraten	51
tausend	50
kenne	50
weißt	50
sieht	50
böse	50
gefallen	50
komme	50
antworten	49
Teufel	49
heraus	49
Just	49
Wirt	49
worden	49
gnädiges	49
Worte	49
wollten	49
unmöglich	48
Stadt	48
gekommen	48
gegeben	48
lesen	48
Jude	48
nennen	48
konnte	47
Gewiß	47
gesehen	47
wert	47
Händen	47
seid	47
Ganz	47
einzige	47
Mühe	46
fragen	46
suchen	46
Gewalt	46
Nachricht	46
Kopf	45
erfahren	45
darüber	45
sollst	45
Sara	45
Tat	44
geworden	44
drei	44
Daja	44
bitten	43
heißen	43
wem	43
Hören	43
Schon	43
leben	43
ward	43
Capitaine	43
desto	42
Gelegenheit	42
Damon	42
tut	42
liebste	42
verlieren	42
Rede	42
eins	42
niemand	42
Henker	42
setzen	42
wahrhaftig	41
Kurz	41
Galotti	41
Waitwell	41
kurz	41
Reden	41
kaum	41
Anton	41
seh	41
Ende	40
folgen	40
Prinzen	40
Sultan	40
Recha	40
weder	40
Werner	40
habt	40
wollt	40
lieb	40
wüßte	40
Kinder	40
denke	40
Verstand	40
ists	40
Minna	40
Willen	40
dürfen	39
Manne	39
liebt	39
Sei	39
sagte	39
Eben	39
daraus	39
fällt	39
tot	39
Gräfin	39
alt	39
klug	39
zwanzig	38
nötig	38
Juden	38
stehen	38
könne	38
Freilich	38
jemals	38
Morgen	38
Kleinigkeit	38
Herzen	38
unglücklich	37
sag	37
Gesicht	37
spielen	37
Schlag	37
gnädige	37
schön	37
erwarten	37
kleinen	37
mache	36
Ihro	36
vorhin	36
sogleich	36
könnten	36
Jahren	36
verdient	36
könnt	36
ehrlicher	36
richtig	36
scheinen	36
gnädiger	36
schöne	36
deren	36
kleine	36
ewig	36
Geduld	36
ehe	36
alten	36
helfen	36
Umstände	36
brauchen	35
Grafen	35
Tränen	35
Ursache	35
warten	35
Hülfe	35
Versteh	35
lernen	35
Freude	35
verstehen	35
verzeihen	35
Sprache	34
Engel	34
zufrieden	34
Mademoiselle	34
Wachtmeister	34
Briefe	34
längst	34
Einfall	34
gehn	34
vergeben	34
ehrlichen	34
Ernst	34
nunmehr	34
Heirat	34
Bald	34
Mamsell	33
voraus	33
gehe	33
Braut	33
ließ	33
alte	33
groß	33
Philto	33
neue	33
dächte	33
nu	33
zugleich	33
Rat	33
danken	33
mußt	32
bezahlen	32
näher	32
Gefahr	32
verstehe	32
Augenblicke	32
Stelle	32
spricht	32
vortrefflich	32
Anselmo	32
Patriarch	32
Streich	32
erhalten	32
Hände	32
komm	32
Zimmer	32
zeigen	32
Verzeihen	32
Sieh	32
nimm	32
Fehler	32
verlangen	32
lasse	31
liebster	31
gleichwohl	31
Ritter	31
geschehen	31
Paar	31
umsonst	31
müsse	31
unserm	31
unsern	31
hundert	31
führen	31
entgegen	31
Natur	31
frei	31
Frauenzimmerchen	31
fallen	31
Sittah	30
klein	30
fein	30
hätt	30
unsere	30
Tod	30
Exempel	30
Maskarill	30
kennt	30
Al-Hafi	30
Auge	30
Füßen	30
gebracht	30
gesetzt	30
seit	30
Dienste	30
