Title: Der Misogyn
Number of all tokens: 4149
Nummber of different tokens: 1978

Token	Frequency
Herr	69
Lelio	52
Vater	39
wohl	39
sagen	36
Schwester	29
Leander	28
werde	27
Bruder	26
Sohn	25
Hilaria	22
würde	21
Tochter	21
meiner	21
weiß	21
gewesen	21
Solbist	20
eben	19
sehen	18
gar	18
Liebe	17
gewiß	16
alles	16
Augen	16
Laura	15
gut	15
hören	15
Valer	14
genug	13
wissen	13
lieber	13
Herrn	13
hast	13
Unglück	13
hätten	13
Frau	13
Johann	12
Leandern	12
Weiber	12
recht	11
Ihrem	11
Mann	11
kömmt	11
wollte	11
bald	11
allein	11
endlich	10
glücklich	10
denken	10
heute	10
Wumshäter	10
Pars	10
getan	10
wenig	9
lieben	9
Prozeß	9
klug	9
glauben	9
wahr	8
Zeit	8
andern	8
nehmen	8
glaube	8
gesagt	8
Recht	8
länger	8
Frauenzimmer	8
wenigstens	8
unmöglich	8
kannst	8
Person	7
Herz	7
deinen	7
deiner	7
Art	7
sag	7
Sache	7
Madmoisell	7
gehört	7
Ei	7
weit	7
Gut	7
Rede	7
Welt	7
sehe	7
längst	7
oft	7
liebe	7
Jungfer	7
geworden	6
drei	6
wirst	6
Schweig	6
vielleicht	6
Hand	6
nunmehr	6
schönste	6
lange	6
mag	6
kurz	6
ähnlich	6
antworten	6
besser	6
Betrachtung	6
einander	6
gesetzt	6
erfahren	6
bekommen	6
Gleichheit	6
Mutter	6
Erfahrung	6
reden	6
verloren	6
sei	6
erste	6
Himmel	6
gern	6
Hause	6
Leichtgläubigkeit	6
seiner	6
Glück	6
Verzeichnis	6
andre	5
willst	5
deinem	5
gehabt	5
ihrem	5
liebster	5
hoffe	5
Verdruß	5
Vaters	5
Bedingung	5
reisen	5
ersten	5
kaum	5
Höre	5
sollst	5
Gewiß	5
freilich	5
jemals	4
Wasser	4
Heiraten	4
höre	4
bösen	4
Antwort	4
weniger	4
ganze	4
Vergnügen	4
Vernunft	4
sage	4
Freilich	4
gefällt	4
Schmeicheleien	4
sprechen	4
niemals	4
Sagen	4
stiften	4
verbunden	4
Ende	4
Tat	4
Dingen	4
unsere	4
unserm	4
hoffen	4
st	4
entbehren	4
geht	4
Geduld	4
Bitte	4
leicht	4
versichert	4
darin	4
Wort	4
kennen	4
gewonnen	4
meines	4
Menschen	4
los	4
überzeugt	4
Ehre	4
Mamsell	4
Stille	4
Braut	4
