Title: Philotas
Number of all tokens: 2398
Nummber of different tokens: 1346

Token	Frequency
Vater	50
Prinz	47
König	38
Schwerd	21
Götter	20
Sohn	18
Strato	18
sagen	15
Vaters	13
wohl	13
werde	12
alles	12
meiner	12
deinen	11
Parmenio	11
Laß	11
gern	10
gefangen	10
Mann	10
weiß	10
gut	9
hast	9
deinem	9
deines	9
meines	9
willst	8
itzt	8
Held	8
schwöre	8
wirst	8
sehen	8
sonst	8
Kind	8
Feind	8
Soldaten	7
laß	7
höre	7
seiner	7
sei	7
Prinzen	7
Zeit	7
wissen	7
vielleicht	7
lieber	7
wollte	7
Höre	6
sterben	6
Alter	6
morgen	6
deiner	6
Glück	6
Sohne	6
genug	6
erst	6
Wunde	6
nie	6
oft	6
kömmt	6
Polytimet	6
Jüngling	6
allein	6
Leben	5
lange	5
Jugend	5
Unglück	5
hören	5
Komm	5
Höret	5
weißt	5
wenig	5
Freund	5
besten	5
wollt	5
Bald	5
Gefangener	5
würde	4
Vielleicht	4
Seele	4
Recht	4
Schwur	4
nimm	4
Wort	4
Gewalt	4
bestechen	4
Fehler	4
Tage	4
verspricht	4
bald	4
Philotas	4
sprechen	4
Ursache	4
Krieg	4
Schicksal	4
weit	4
erscheinen	4
Willst	4
recht	4
Mensch	4
tödlich	3
Feinde	3
Gefangenschaft	3
Miene	3
kannst	3
Jahren	3
lache	3
Soldat	3
alsdenn	3
unsere	3
Gut	3
Sage	3
Freunde	3
kenne	3
umarmen	3
Verstand	3
Scham	3
Verderben	3
denken	3
Antwort	3
Hast	3
alter	3
Throne	3
Könige	3
Gefangenen	3
Gold	3
Gedanke	3
Feuer	3
gestorben	3
seines	3
lernt	3
Herzen	3
leicht	3
Gehorsam	3
erkaufen	3
Boten	3
Brust	3
sagte	3
Heft	3
Sache	3
Blute	3
zehn	3
Liebe	3
gar	3
richten	3
näher	3
Untertanen	3
Besten	3
bewundern	3
Knabe	3
Welch	3
andern	3
meinigen	3
Lebe	3
fürchte	3
ersten	3
Königs	3
liebt	3
sterbe	3
vergeben	3
Ha	3
freilich	3
Gesicht	3
Itzt	3
erstaune	3
fast	3
Himmel	3
hör	3
Ehre	3
Erstaunen	3
verstehen	3
sollst	3
Stirb	2
erfahren	2
Gib	2
herzlich	2
alt	2
schicken	2
Schlacht	2
komm	2
Adern	2
mache	2
Glieder	2
Regierung	2
Tausend	2
Andenken	2
zärtliche	2
dachte	2
unendlicher	2
Augen	2
einzigen	2
prahlen	2
entwaffnet	2
Lachen	2
Ach	2
Befehlshaber	2
Göttern	2
Wozu	2
toden	2
voll	2
ehrlicher	2
bleibt	2
welch	2
Tod	2
Wohl	2
ertappt	2
bewegen	2
zerschmettern	2
ward	2
unserm	2
edel	2
klagen	2
würdig	2
Zelt	2
gelehrt	2
tat	2
vergessen	2
Verzeih	2
Taten	2
Hülfe	2
schaffen	2
gelassen	2
kurz	2
Blut	2
wachen	2
Herz	2
Zunge	2
lebendig	2
komme	2
Jahr	2
deinigen	2
wahre	2
findest	2
Elend	2
Vorsatze	2
vollenden	2
frei	2
Körper	2
Teil	2
brauchen	2
verächtlich	2
Menschen	2
läßt	2
Kleinigkeit	2
gesagt	2
glauben	2
welchem	2
Zweck	2
nehmen	2
euer	2
beider	2
nahe	2
verbinden	2
Wohle	2
Nichtswürdiger	2
Schmeichle	2
Sei	2
feindlichen	2
Waffen	2
Verzeihung	2
hättest	2
elend	2
Erfahrung	2
zurück	2
Geschichte	2
denkst	2
machte	2
reden	2
weine	2
nahm	2
höhere	2
genießen	2
Worte	2
wehe	2
Schwöre	2
Mittel	2
vollkommen	2
Freude	2
gibst	2
finster	2
Reich	2
wert	2
Liebes	2
Umstände	2
feuriger	2
verloren	2
einst	2
Frucht	2
größtes	2
ruhen	2
Dank	2
Zukunft	2
erfüllen	2
gesprochen	2
länger	2
vergönnen	2
Anbetung	2
Freundschaft	2
sehnte	2
unverdächtigen	2
Einfälle	2
Sieh	2
wenden	2
Schande	2
gezogen	2
Verzweiflung	2
scheinet	2
Eisen	2
Nachricht	2
verweigern	2
Namen	2
sichersten	2
gedacht	2
Befehl	2
aufriß	2
ruhig	2
wahr	2
Flamme	2
Auge	2
Tugend	2
bluten	2
Stahl	2
begegnen	2
Art	2
verstehe	2
Folge	2
kennen	2
Fasse	2
besser	2
Siege	2
gewonnen	2
Tagen	2
niederschlagen	2
glückliche	2
Bildung	2
bitte	2
gefangenen	2
schmeicheln	2
Hand	2
geschieht	2
Ende	2
Hände	2
sähe	2
Tritt	2
melden	2
Welt	2
fort	2
erspare	2
Jünglings	2
Vorsicht	2
menschliche	2
bestärken	2
ins	2
Väter	2
Befehlen	2
Herolde	2
Staats	2
männlichen	2
gehöret	2
jung	2
müßte	2
liebst	2
unser	2
Verräter	2
