Title: Der Schatz
Number of all lemmas: 11596
Nummber of different lemmas: 2131

Lemma	POS	Frequency	Tokens
sein	VB, VBN, PRP$, RB, JJ	373	sein, bin, wäre, wären, ist, sind, war, sei, gewesen, waren
ich	JJ, PRP, PRP$	317	ich
Sie	JJ, PRP	248	Sie
ein	DT, RP	238	ein, eine, einer, einem, einen, eines
nicht	RB	214	nicht
haben	VB, RB	188	hat, haben, habe, hätte, hatten, hätten, hatte
und	CC	155	und
die	WDT, DT	138	die
das	DT, WDT	136	das
es	PRP, JJ, PRP$	135	es
zu	TO, IN, RB	132	zu
der	DT, WDT	127	der, deren
so	RB, IN, NNP, WRB	121	so
dass	IN, RB	119	daß
Ich	PRP	111	Ich
er	JJ, PRP	109	er
wollen	MD	98	wollten, will, wollte, wollen, wollt, wolle
mir	PRP, JJ	97	mir
Herr	NN, NNP, JJ	90	Herr
den	DT, WDT	90	den
werden	VB, VBN	89	wird, würden, werden, wurde, würde, geworden, werde
mich	PRP	82	mich
sich	PRP	79	sich
sie	PRP, JJ	78	sie
doch	RB, CC, RP, IN, NNP, WRB	75	doch
können	VBN, VB, PRP$	74	könnte, kann, können, könne, kannst, könnten, konnte
mein	PRP$, JJ	74	mein, meine, meiner
von	IN, TO	74	von
in	IN, TO	71	in
sollen	MD	69	soll, sollte, sollen
wenn	IN, RB	68	wenn
Er	PRP, JJ	67	Er
noch	RB, RP, IN	65	noch
wohl	RP, RB, IN	65	wohl
dem	DT, WDT	64	dem
auf	IN, RP, TO	63	auf
was	WP, WDT, DT	63	was
Und	CC, RB	59	Und
sagen	RP, VB, VBN	59	gesagt, sage, sagen, sagt, sagte
als	IN	58	als
all	DT, JJ	57	alles, allen, alle, aller, allem
mit	IN, RP, TO	57	mit
auch	RB, IN, RP	56	auch
nur	RB, IN, WRB, RP, NNP	55	nur
Das	DT	54	Das
Aber	CC, RB	53	Aber
Ihnen	PRP, JJ	52	Ihnen
Lelio	NN, NNP, JJ	52	Lelio
gut	JJ, VB	50	gut, guten, gute, guter, gutem
für	IN, TO	49	für
du	PRP, JJ	49	du
Was	WP	49	Was
denn	RB, IN, RP	45	denn
an	IN, RP, TO	41	an
wieder	RB, RP, IN	41	wieder
mussen	VB, VBN, RB	40	muß, mußte, mußt
bei	IN, TO	40	bei
ihm	PRP, JJ	39	ihm
ja	RB, RP	38	ja
Ihr	PRP$, JJ, NN	36	Ihr, Ihres, Ihrem
meinen	PRP$, VB, VBN	35	meinen, meine, meinte, meinten
nun	RB, RP	34	nun
wie	IN	34	wie
ihn	PRP, JJ	33	ihn
Es	PRP, PRP$	33	Es
Philto	NN, NNP	33	Philto
Anselmo	NN, NNP, JJ	32	Anselmo
Ja	NN, JJ	32	Ja
man	DT	32	man
eben	RB, RP, NNP, IN	31	eben
viel	RB, RP, IN, DT	31	viel, vielen
geben	VB, VBN	30	geben, gibt, gegeben, gäben, gab
dies	DT, WDT	30	dieses, diesen, diese, dieser, diesem
aber	RB, WRB, RP, IN, CC	30	aber
schon	RB, IN, RP	30	schon
Nun	UH	30	Nun
Maskarill	NNP, NN	30	Maskarill
ganz	NNP, IN, RB, JJ, RP	30	ganz, ganze, ganzer, ganzen, ganzes
alt	JJ, VB	29	alt, alte, alter, alten
gar	RB, RP	29	gar
Sohn	NN, NNP	28	Sohn
Wenn	IN, RB	28	Wenn
Wie	IN	28	Wie
machen	VB, VBN	28	machen, macht, gemacht
lassen	VB, VBN, NN, RB	28	lasse, lassen
kommen	VB, VBN	28	kommen, komme, kam, käme, gekommen
Vater	NN, NNP	27	Vater
tun	VB, VBN, RP	27	tun, tut, getan, tat
Freund	NN, NNS, JJ	27	Freund, Freunde
lieb	JJ, VB	25	lieb, lieber, liebe, liebes, lieben
Mann	JJ, NN, NNP	25	Manne, Mann
Haus	NN	25	Haus
Taler	NN	24	Taler
mehr	IN, RB, WRB, RP	23	mehr
kein	JJ, DT	23	keine, kein, keinen
sehen	VB, VBN, RB	22	sehen, gesehen, sieht, sah
selbst	JJ	22	selbst
Jahr	NN, JJ	22	Jahr, Jahre
Sein	PRP$, VBN, VB, RB	22	Sein, Ist, Sind, War
gehen	VB	22	gehen, ging, geht
aus	IN, RP	21	aus
nichts	DT, RB	21	nichts
dich	PRP	21	dich
etwas	DT, JJ	21	etwas
Staleno	NNP, NN	21	Staleno
um	RP, IN	21	um
Ihre	PRP$	21	Ihre
Geld	NN	21	Geld
ist	VB, RB, JJ	20	ist
da	IN, RB	20	da
gewiss	NN, JJ	19	gewiß, gewissen, gewisse
sprechen	VB, VBN, RP	19	sprechen, gesprochen, sprach, spricht
tausend	CD	19	tausend
sehr	RB, IN	19	sehr
Ein	DT	19	Ein, Eine, Einen
hier	IN, RB, RP	19	hier
Leute	NN	18	Leute
müssen	VB, RB	18	müssen, müßte, müßten
genug	IN, RP, RB	17	genug
des	DT	17	des
O	NN, NNP	17	O
weeissen	VB	17	weiß
jetzt	RB, RP	16	jetzt
wissen	VB	16	wissen
meine	PRP$	16	meine
Die	DT	16	Die
hören	VB	15	höre, hören, hörte, hört
oder	CC	15	oder
So	RB, IN	15	So
Herrn	JJ, NN	15	Herrn
vor	IN, RP	15	vor
seinen	PRP$	15	seinen
Schwester	NN	14	Schwester
Mädchen	NN	14	Mädchen
Wort	NN, NNS	14	Wort, Worte
wahr	RP, JJ	14	wahr, wahre
zur	IN	14	zur
ob	IN, RB	14	ob
Leander	NN	14	Leander
Anselmus	NN	14	Anselmus
glauben	VB, VBN	14	glaube, glaubte, glauben, geglaubt, glaubt
Hause	NN	14	Hause
gleich	JJ	14	gleich
gegen	IN	13	gegen
