Title: Die Juden
Number of all lemmas: 9755
Nummber of different lemmas: 1526

Lemma	POS	Frequency	Tokens
ich	PPER, PRF	660	ich, Ich, mich, mir, meiner
die	PRELS, ART, PDS	479	den, der, das, dem, die, Das, des, dessen, Die, Dem, Der, Den
sein	VAFIN, VAPP, VAINF, PPOSAT	376	sind, gewesen, wäre, Waren, war, sein, Seine, seid, bin, ist, sei, seinen, wären, waren, seine, Ist, Seid, War, bist, Sein, seinem, Bin, Sind, Seiner, Wären
Sie	PPER	369	Ihnen, Sie
haben	VAFIN, VAPP, VAINF, VAIMP	219	hätten, Habe, hat, hast, habt, habe, gehabt, haben, hätte, hatten, hättest, hab, Hat, Hätte, hatte, Hätten, hättet
eine	ART, PIS	202	einen, ein, einer, eine, einem, Ein, eines
zu	APPR, PTKZU, PTKVZ, PTKA, APPRART	185	Zu, zu, zum, Zum, zur
er	PPER	172	er, ihm, ihn, Er, Ihn
so	ADV	162	so, So
nicht	PTKNEG	159	nicht, Nicht
mein	PPOSAT	154	Mein, mein, meiner, meinen, meines, meine, meinem, Meine
und	KON	152	und, Und
es	PPER	137	Es, es
sie	PPER	131	sie, Ihr, ihnen
wollen	VMFIN, VMINF	108	will, wollt, Wollten, wollten, wollen, wollte, Wollte, Will, wolle, Wollen
dass	KOUS	105	daß, Daß
werden	VAFIN, VAINF, VAPP	100	würden, werden, werde, würdet, wurden, wird, würde, geworden, wirst, werdet, Wird, Werde
ihr	PPOSAT, PPER, PRF	100	ihren, Euch, Ihrer, Ihre, ihr, euch, ihre, ihrer, ihres, Ihres, Ihr, Ihrem, Ihren
können	VMFIN, VMINF	94	können, konnten, kann, Kann, könnt, könnte, könnten, Könnte, könne, Könntest, konnte
was	PIS, PRELS, PWS	87	was, Was
Herr	NN	73	Herren, Herrn, Herr
wenn	KOUS	69	wenn, Wenn
in	APPR, APPRART	67	in, im, In, ins
wir	PPER, PRF	67	Wir, wir, uns, unser
mit	APPR, PTKVZ	66	mit, Mit
sollen	VMFIN	65	soll, sollen, sollten, sollte, Sollen, Sollte, Soll, Sollten, sollt
doch	ADV, KON	65	doch, Doch
sich	PRF	62	sich
als	KOKOM, KOUS	58	als, Als
auch	ADV	52	auch, Auch
von	APPR, APPRART	50	von, Von, vom
wie	KOUS, KOKOM	50	Wie, wie
auf	APPR, PTKVZ	49	auf
aber	ADV, KON	49	aber, Aber
man	PIS	48	man, Man
nur	ADV	47	nur, Nur
noch	ADV, KON	46	noch
machen	VVFIN, VVINF, VVPP	46	machte, machen, gemacht, macht, machten, Macht, mache, machst
wissen	VVINF, VVFIN, VVPP	43	wissen, weiß, Wißt, wüßten, wüßte, Wissen, wußte, gewußt
bei	APPRART, APPR	43	beim, bei, Bei
sagen	VVPP, VVFIN, VVINF	40	gesagt, sagt, sagen, sage, Sagen, sagte
