Title: Damon, oder die wahre Freundschaft
Number of all lemmas: 2727
Nummber of different lemmas: 1253

Lemma	POS	Frequency	Tokens
versteh	NN	49	versteh
Leander	NN, NNP	47	Leander
Freund	NNS, NN, NNP	47	Freunde, Freund
Damon	NN, NNP	42	Damon
wohl	RB, RP, IN	35	wohl
Versteh	NN	30	Versteh
Freundschaft	NN, JJ	27	Freundschaft
sagen	VB, RB, VBN, RP	24	sagen, sage, sagt, gesagt
Herr	NN, JJ	20	Herr
Frau	NN	20	Frau
Vetter	NN, NNP	19	Vetter
weeissen	VB	19	weiß
Liebe	NN, JJ	18	Liebe
gut	JJ	16	gut, guter, guten, gute
meine	PRP$	15	meine
gewiss	NN, JJ	14	gewiß, gewissen
soen	VBN, RB	14	so
andern	JJ, DT, RB	14	andern
ha	NN	14	ha
Himmel	NN	14	Himmel
Schiff	NN, NNS	13	Schiff, Schiffe
Ehre	NN	13	Ehre
Unglück	NN	12	Unglück
Ach	NN	12	Ach
Vermögen	NN	11	Vermögen
Herz	NN, NNS	11	Herz, Herzen
Gott	NN	11	Gott
wenig	RB, IN	11	wenig
eben	WRB, RB	10	eben
glauben	VB	10	glauben, glaube, geglaubt
wahr	RP, RB, JJ	10	wahr
genug	RB, RP	10	genug
lieb	NN, JJ, VB	10	lieben, lieber, liebe
Lisette	NN	10	Lisette
Recht	NN	9	Recht
kömmen	MD	9	kömmt
itzo	NN	9	itzo
bekommen	VB, VBN	9	bekommen
erst	RP, RB, JJ	9	erst, ersten
alsdenn	RB, RP, IN	8	alsdenn
erklären	VB, VBN	8	erklären, erklärten, erklärt, erkläret, erklärte
Leandern	NN	8	Leandern
reden	VB, PRP$	8	redet, reden
dazuen	VB	8	dazu
Nachricht	NN	8	Nachricht
sehen	VBN, VB	8	sehen, gesehen, sieht
setzen	VB, RP	8	gesetzt, setzen
Zeit	NN	8	Zeit
bald	WRB, RB, RP	8	bald
ist	VB, RB, JJ	8	ist
Ihrem	NN	7	Ihrem
glücklich	JJ	7	glücklich
gern	VBN, RB, IN, RP	7	gern
Neigung	NN, NNS	7	Neigung, Neigungen
Reden	NN, NNP	7	Reden
Witwe	NN	7	Witwe
Vergnügen	NN	7	Vergnügen
liebster	NN	7	liebster
verzeihen	VB	7	verzeihen
suchen	VB	7	suchen, sucht, suchten
gar	RB	7	gar
unglücklich	JJ	7	unglücklich
zwei	CD	7	zwei
Ha	NN	7	Ha
verlieren	VB	6	verliert, verlieren, verlöre
Freundes	NN	6	Freundes
hören	VB	6	hören, höre
Gedanke	NNS	6	Gedanken
Handel	NN	6	Handel
klein	JJ	6	kleiner, klein, kleines, kleine
Absichten	NN	6	Absichten
Art	NN	6	Art
vielleicht	RB	6	vielleicht
fein	JJ	6	fein
verstehen	VB	6	verstehen, verstehe
Leben	NN	5	Leben
Madam	JJ	5	Madam
denken	VB	5	denkt, denken
heiraten	VB	5	heiraten
glücklichsten	NN	5	glücklichsten
kann	VB, RB, JJ	5	kann
Wort	NN	5	Wort
bitten	VB	5	bitten, bitte
nehmen	VB	5	nahm, nehmen
Ursache	NN	5	Ursache
selb	DT	5	selber
finden	VB, VBN	5	finden, gefunden
verlor	JJ	5	verloren
Glück	NN	5	Glück
rechen	VB	5	recht, rechten
sonst	RB	5	sonst
beleidigen	VB, RP	5	beleidigen, beleidigt
beleidiget	NN	5	beleidiget
kennen	VB	5	kenne, kennen
meines	JJ, NN	5	meines
helfen	VB	5	hilft, helfen
Welt	NN	5	Welt
leicht	JJ	5	leicht, leichter
jung	JJ	5	jungen, junge
niederträchtig	JJ	4	niederträchtig
Pflicht	NN	4	Pflicht
Freier	NN	4	Freier
aufs	NN	4	aufs
grösst	JJ	4	größte, größten
Person	NN	4	Person
mirs	NN	4	mirs
Beleidigungen	NN	4	Beleidigungen
niemand	DT	4	niemand
Leanders	NN	4	Leanders
zeigen	VB, VBN	4	zeigen
danken	VB	4	danken
andermal	RB, NNP, RP	4	andermal
warten	VB, VBN	4	warten
grossmütig	JJ	4	großmütig, großmütigen
gehabt	NN	4	gehabt
untergehen	VBN, RP, VB	4	untergegangen
angenehm	JJ	4	angenehme, angenehm
zärtlich	JJ	4	zärtlichen, zärtlich
verdriesslich	JJ	4	verdrießlich
antworen	VB	4	antworten
einander	PRP	4	einander
sehe	PRP$	4	sehe
schwach	JJ	4	schwach
sehn	NN	4	sehn
Tonne	NN, NNS	4	Tonne, Tonnen
verlassen	VB	4	verlassen
Schande	NN	4	Schande
Reichtum	NN	4	Reichtum
nie	RB	4	nie
dächte	NN	4	dächte
