Title: Der junge Gelehrte
Number of all lemmas: 10506
Nummber of different lemmas: 3557

Lemma	POS	Frequency	Tokens
Herr	NN, JJ	110	Herr
mussen	VB, RB, VBN	88	muß, mußte, mußt
sagen	VB, VBN	87	sagen, gesagt, sage, sagt, sagte
wohl	RP, RB, IN, VB	83	wohl
schon	RB, RP, IN	78	schon
Vater	NN, NNP	67	Vater
gehen	VB	59	geht, ging, gehen, gegangen
glauben	VB, VBN	59	glauben, glaubt, glaube, geglaubt, glaubte, glaubst
ganz	NNP, JJ, RB, IN, WRB	58	ganz, ganze, ganzen, ganzes, ganzer
Damis	NN, NNP, RP, JJ	57	Damis
Lisette	NN, NNP	56	Lisette
Valer	NN, NNP	56	Valer
weeissen	VB, RB, VBN	54	weiß
ja	RB, RP, IN	52	ja
mehr	RB, IN, RP, WRB	52	mehr
Ja	NN	50	Ja
tun	VBN, VB, RP	49	getan, tun, tut, tat
kommen	VB, RP, VBN	49	kommen, kam, gekommen, komme, kommt
lassen	VB, RB, NN, JJ, VBN	47	lassen, lasse, ließ, gelassen
O	NN	47	O
gut	JJ	45	guter, guten, gut, gute, gutem
reden	VB, VBN	45	redete, reden, rede
Julianen	NN	45	Julianen
sehen	RB, VB, VBN	44	sehen, sieht, gesehen, sah
gar	RB, RP, IN	44	gar
Sohn	NN, NNP	43	Sohn
mögen	VB, PRP$, VBN	40	möchte, mag, mögen, möchtest, magst
Brief	NNS, NN	40	Briefe, Brief
rechen	VB	40	rechten, recht, rechte
Anton	NN, NNP	39	Anton
gleich	JJ	39	gleich, gleichen, gleichem
erst	RB, JJ, IN, NN, VB, RP	38	erst, ersten, erste, erster, erstes
hören	VB	38	hören, höre, höret, hörte, hört, hörst
Juliane	NNP, NN	37	Juliane
geben	VB, VBN	36	geben, gaben, gibt, gegeben, gab
Nein	NN	35	Nein
wissen	VB, VBN, RB	34	wissen
kennen	VB	34	kennen, kenne, kennt
hast	NN, NNP	34	hast
Wort	NNP, NN, NNS	33	Wort, Wörter, Worte
Frau	NN	33	Frau
wann	WRB	32	wann
bald	RB, IN, RP	31	bald
wahr	RP, JJ, RB	30	wahr, wahre
gewiss	NN, JJ	28	gewiß, gewissen, gewisses, gewisse
Zeit	NN	26	Zeit
gehören	VBN, RP, VB	26	gehöret, gehört, gehörst, gehören
halten	VB, RP, VBN, RB	26	halten, gehalten, hält, hielt
lieb	JJ, RB, VB	25	lieber, liebe, lieb, lieben, liebes
