Title: EntireCorpus-Lemmas
Number of all lemmas: 77614
Nummber of different lemmas: 14418

Lemma	POS	Frequency	Tokens
Herr	NN, JJ, NNP	810	Herr, Herren
wohl	RB, RP, IN, VB, WRB, JJ	705	wohl
sagen	VB, RB, VBN, RP, PRP$	682	sagen, sage, sagt, gesagt, sagte
gut	JJ, RB, VB	464	gut, guter, guten, gute, gutem
Vater	NN, NNP, JJ	412	Vater
sehen	VBN, VB, RP, RB	341	sehen, gesehen, sieht, sah, seht, sahen
meine	PRP$, VB, RB	331	meine
weeissen	VB, JJ, RB, VBN	321	weiß
lieb	NN, JJ, VB, RB	317	lieben, lieber, liebe, lieb, liebes
glauben	VB, VBN, RB	307	glauben, glaube, geglaubt, glaubt, glaubte, glaubst, glaubten, glaubest
gar	RB, RP, IN	291	gar
Mann	NN, JJ, NNP	286	Mann, Manne
hören	VB, VBN, RB	283	hören, höre, hörst, höret, hörte, hört, hörten, hörtest
ist	VB, RB, JJ, NN	258	ist
eben	WRB, RB, VBN, IN, RP, VB, NNP, FW	253	eben
gewiss	NN, JJ, NNP, VB	246	gewiß, gewissen, gewisse, gewisses, gewisser
erst	RP, RB, JJ, VB, IN, NN	245	erst, ersten, erste, erstes, erster
wissen	VB, RB, VBN	229	wissen
wahr	RP, RB, JJ, IN	225	wahr, wahre, wahres, wahrer
Freund	NNS, NN, NNP, JJ	223	Freunde, Freund
Gott	NN, NNP, JJ	222	Gott
nehmen	VB, VBN, RP, RB, NN	213	nahm, nehmen, nehme, genommen, nimmt, nahmen
soen	VBN, RB, VB, RP	204	so
wenig	RB, IN, NNP, RP, JJ, DT, WRB, FW	204	wenig, wenigen, wenige
Liebe	NN, JJ, NNP	200	Liebe
sprechen	VB, VBN, RP, PRP$	192	spricht, gesprochen, sprachen, sprechen, sprach
rechen	VB, VBN, JJ	188	recht, rechten, rechte, gerecht
kömmen	MD	187	kömmt, kömmst
Ach	NN, NNP	187	Ach
Wort	NN, NNS, NNP, JJ	182	Wort, Worte, Wörter
denken	VB, VBN, PRP$	181	denkt, denken, denke, dachte
Herz	NN, NNS, JJ	180	Herz, Herzen
Tochter	NN, JJ, NNP	176	Tochter
gern	VBN, RB, IN, RP, WRB, VB	173	gern
Fräulein	NN, NNP, JJ	169	Fräulein
kennen	VB, RB, VBN	165	kenne, kennen, kennt
allein	RB, RP, WRB, IN, JJ	163	allein
bald	WRB, RB, RP, IN, JJ	158	bald
Herrn	NN, JJ, NNP	156	Herrn
finden	VB, VBN, RB, RP	155	finden, gefunden, findet, fand, fanden
andern	JJ, DT, RB, NN, VB	154	andern, andere
genug	RB, RP, IN, JJ, NNP	153	genug
Hand	NN, JJ	153	Hand
Sohn	NN, NNP, NNS	152	Sohn, Söhne
reden	VB, PRP$, VBN, RP	148	redet, reden, rede, redete, geredet, redest
Mellefont	NN, NNP, RB, RP	144	Mellefont
Zeit	NN, JJ	142	Zeit
sonst	RB, IN, RP, WRB	142	sonst
Prinz	NN, JJ, NNP	140	Prinz
seiner	PRP$	139	seiner
Welt	NN	136	Welt
Augen	NN, JJ	135	Augen
Major	NN, NNP, FW	135	Major
Ha	NN	134	Ha
klein	JJ, VB, RB	132	kleiner, klein, kleines, kleine, kleinen
Brief	NNS, NN	130	Briefe, Brief
Lelio	NN, NNP, JJ, RB	128	Lelio
Miss	NN, NNP, JJ	126	Miß
bitten	VB, VBN, PRP$	126	bitten, bitte, gebeten, bat, bittet
Frau	NN, JJ, NNP	126	Frau
hast	NN, JJ, NNP	122	hast
