Title: Emilia Galotti
Number of all lemmas: 6863
Nummber of different lemmas: 2154

Lemma	POS	Frequency	Tokens
Prinz	NE, NN	119	Prinz, Prinzen
Herr	NN	89	Herr, Herrn
gut	ADJD, ADJA	86	besser, gut, Guten, gute, guter, gutem, bester, Gut, guten, gutes, bestes, beste, besten, Guter, Bester
Graf	NN, NE	80	Grafen, Graf
Marinelli	NE	79	Marinelli
sagen	VVINF, VVFIN, VVIMP, VVPP	77	sagen, sagte, sag, sage, gesagt, sagten, sagt, Sag, Sagen, Sagte
Tochter	NN	73	Tochter, Töchter
wissen	VVFIN, VVINF, VVPP	70	wissen, weiß, wüßte, gewußt, wußte, wisse, Wissen, wüßten, Weiß, wüßtest
gnädig	ADJA, ADJD	66	gnädiger, Gnädiger, gnädige, gnädig, Gnädige, gnädiges, gnädigster, gnädigen
wohl	ADV, PTKVZ	65	wohl, Wohl
Mutter	NN	62	Mutter, Mütter
Emilia	NE	60	Emilia
sehen	VVFIN, VVPP, VVINF, VVIMP	59	sieht, gesehen, sehen, sahen, sehe, siehst, sah, Sehen, Sieh, sieh
Vater	NN	53	Vater, Vaters, Väter
hören	VVFIN, VVINF, VVIMP	47	hörten, Hören, höre, hören, hörte, hört, Hört, Hörten, höret, hör
Galotti	NE, NN	41	Galotti
Gräfin	NN	39	Gräfin
eben	ADV	35	eben, Eben
Wort	NN	31	Wort, Worte
erst	ADV, ADJA	31	erst, erste, ersten, Erst
gar	ADV	31	gar
lieb	ADJA, ADJD	30	lieben, lieber, Lieber, liebsten, Liebster, Liebe, liebste, liebe, Liebes
Hand	NN	30	Hand, Hände, Händen
heute	ADV	30	heute, Heute
Auge	NN	30	Augen, Auge
denken	VVFIN, VVINF, VVIMP	29	dachte, dächte, denken, denk, denkst, denke, Denke, Denken, denkt
nehmen	VVFIN, VVPP, VVINF, VVIMP	28	nimmt, nehmen, genommen, Nehmen, nahm, Nimm, Nimmt, nehme
recht	ADJD, PTKVZ	27	Recht, recht
Mann	NN	26	Mann, Manne, Mannes, Männer
unser	PPOSAT	26	Unsere, unserer, Unser, unsere, unser, unserm, unseres, unsres, unsrer, unsers
ruhig	ADJD, ADJA	26	ruhig, ruhiger, Ruhig
Ha	NE	25	Ha
Freund	NN, NE	25	Freund, Freunde, Freundes
einzig	ADJA, ADJD	24	einziges, einzigen, einziger, einzige, einzig
kennen	VVFIN, VVINF, VVIMP	24	kenne, kennen, kenn, Kennen, kennst, Kenn, kennest, kennt
glauben	VVIMP, VVPP, VVFIN, VVINF	24	glaub, geglaubt, glaubt, glaube, glaubte, glauben, Glauben
Conti	NE	23	Conti
Frau	NN	23	Frau
gewiss	ADJD, ADJA	22	gewiß, gewisse, Gewiß
tot	ADJD	22	tot, Tot
wahr	ADJD, ADJA	22	Wahr, wahre, wahr
Appiani	VVFIN, ADJD, ADJA, NN, VVPP, NE	21	Appiani
ah	ITJ	20	Ah, ah
kömmt	VVFIN, ADJA, ADJD	20	kömmt
finden	VVFIN, VVINF, VVPP	19	fand, finde, findet, finden, gefunden
Liebe	NN	19	Liebe
Stadt	NN	19	Stadt
wenige	PIS, PIAT	18	weniger, weniges, wenig, wenigen
verlieren	VVPP, VVINF, VVFIN	18	verloren, verlieren
Gott	NN	18	Gott
Ding	NN	18	Dinge, Dingen, Ding
allein	ADV	18	allein
Herz	NN	17	Herzen, Herz
verstehen	VVFIN, VVIMP, VVPP, VVINF	17	Verstehen, versteh, versteht, verstand, verstanden, verstehen, verstehe, Versteh, verstünde
Ton	NN	17	Tone, Ton
erwarten	VVINF, VVPP, VVFIN	17	erwarten, erwartet, erwarteten, erwarte
Zufall	NN	17	Zufall
schön	ADJD, ADJA	17	schön, schönen, schöner, schönes, schönstes, schöne, schönste
genug	ADV	16	genug, Genug
nie	ADV	16	nie, Nie
Orsina	NE	16	Orsina
Bild	NN	16	Bild, Bilde, Bildern
sonst	ADV	16	sonst, Sonst
gern	ADV	16	gern
weiter	ADV, PTKVZ	16	weiter, Weiter
freilich	ADV	16	freilich, Freilich
Haus	NN	16	Häuser, Häusern, Haus, Hause
Morgen	NN	15	Morgen, Morgens
groß	ADJA, ADJD	15	großen, großer, größte, größten, große, groß, größter, größere, Größer, großem, großes
Gnade	NN	15	Gnade, Gnaden
stehen	VVFIN, VVINF, VVIMP	15	Steht, stehe, steht, stehet, stehen, steh, stand
vergessen	VVFIN, VVPP, VVINF	14	vergißt, vergessen, vergaß, vergesse, Vergessen
sogleich	ADV	14	sogleich, Sogleich
Ehre	NN	14	Ehre
Braut	NN	14	Braut
Name	NN	14	Namen, Name
Kunst	NN	14	Kunst
Seele	NN	14	Seele, Seelen
verzeihen	VVINF, VVFIN	13	verzeihen, Verzeihen, verzeihe
Kind	NN	13	Kind, Kinder, Kinde
Mörder	NN	13	Mörder, Mörders
bitten	VVFIN, VVINF, VVPP	12	bitte, bitten, bat, gebeten
Angelo	NE	12	Angelo
Gewalt	NN	12	Gewalt
heißen	VVFIN, VVINF	12	heißt, heißen
Weg	NN	12	Wege, Weg, Weges
bloß	ADJD, ADJA	12	bloß, bloßer, bloße
Wagen	NN	12	Wagen
Fräulein	NN	12	Fräulein
bald	ADV	12	bald, Bald
geschehen	VVFIN, VVINF, ADJA, VVPP	12	geschieht, geschehen, geschehenen, geschähe
Verstand	NN	12	Verstande, Verstand
leben	VVFIN, VVINF, VVIMP	12	leben, Leb, lebe, lebte, Leben, lebt
Guastalla	NE	12	Guastalla
Welt	NN	12	Welt
ha	ITJ, NE	12	Ha, ha
Dolch	NN	11	Dolch, Dolche
vielleicht	ADV	11	vielleicht, Vielleicht
