Title: Minna von Barnhelm, oder das Soldatenglück
Number of all tokens: 10550
Nummber of different tokens: 3763

Token	Frequency
Herr	211
Fräulein	150
Major	135
wohl	80
Franziska	79
Tellheim	73
muß	70
ja	69
Mann	66
schon	56
Nein	56
mehr	55
O	50
Just	49
lassen	49
Ja	47
sagen	47
Wirt	45
Geld	45
gnädiges	44
Ring	42
wäre	42
Minna	40
Werner	40
gut	37
weiß	37
Ihro	36
hätte	35
Wachtmeister	34
Frauenzimmerchen	31
Ehre	31
Herrn	30
kommen	29
sehen	27
hören	27
gar	27
gern	27
eben	27
allein	26
lieber	25
schuldig	25
Kind	25
müssen	24
kömmt	24
sollen	23
Freund	23
wenig	22
Hand	22
Wer	22
ganz	22
Brief	22
gewiß	22
vergessen	21
geben	21
sprechen	21
wahr	21
Unglück	21
sei	21
recht	21
wissen	20
nehmen	20
besser	20
schönes	20
ab	20
de	20
Ah	20
lieben	19
bringen	19
Mademoiselle	19
Zimmer	19
Liebe	19
höre	18
immer	18
her	18
Gnaden	18
hundert	17
Taler	17
Geht	17
Augen	17
Welt	17
Gnad	16
gnädige	16
guten	16
liebe	16
Ha	15
macht	15
läßt	15
kam	15
Manne	15
bleiben	15
le	15
Glück	15
Mädchen	14
wider	14
nie	14
kennen	14
warum	14
que	14
Barnhelm	13
Pistolen	13
finden	13
ik	13
Sachsen	13
denken	13
nit	13
glaube	13
gesagt	13
Kommen	13
hast	13
Offizier	13
Warum	13
gleich	13
Herrschaft	13
gehen	13
hätten	13
mik	13
willst	12
Ik	12
Herz	12
Wort	12
Dienste	12
Lassen	12
genug	12
Zeit	12
geht	12
tun	12
je	12
Seele	12
la	12
Vous	12
ha	12
gehn	11
fort	11
glücklich	11
geschwind	11
darf	11
bitte	11
bezahlt	11
Ei	11
bekommen	11
Gut	11
Hause	11
zurück	11
daran	11
Oheim	10
Geschwind	10
erst	10
Morgen	10
lesen	10
Bettler	10
spielen	10
et	10
Sache	10
gibt	10
armen	10
darum	10
nennen	10
heute	10
Namen	10
Vater	10
darauf	10
Leben	10
Finger	10
heraus	10
mag	10
Frau	10
möchte	10
gute	10
gelesen	10
davon	10
laß	9
Augenblick	9
Seite	9
unglücklich	9
gekommen	9
Schuldner	9
lange	9
Wahrhaftig	9
Minister	9
Kerl	9
dabei	9
los	9
seh	9
Wirte	9
dafür	9
besten	9
schön	9
einander	9
suchen	9
sollst	9
Spaß	9
wer	9
freilich	9
Mensch	9
heißt	8
bien	8
Polizei	8
wüßte	8
sollten	8
Madame	8
Je	8
gehört	8
worden	8
liebste	8
komm	8
Komm	8
Hören	8
Gott	8
herein	8
weit	8
un	8
entgegen	8
Dukaten	8
ichs	8
Vielleicht	8
Persien	8
Lieber	8
setzen	8
Wernern	8
ce	8
bald	8
getan	8
wären	7
Paul	7
bezahlen	7
drei	7
bitten	7
Ganz	7
sage	7
mache	7
Tag	7
nimmt	7
folgen	7
nimm	7
Leute	7
wert	7
Soldat	7
König	7
hörte	7
Ringe	7
tut	7
zwanzig	7
Friede	7
bloß	7
Menschen	7
Türe	7
Recht	7
fehlt	7
reden	7
Händen	7
Gnädiges	7
wem	7
erste	7
Nacht	7
indes	7
guter	7
versetzt	7
sehe	7
Krieg	7
Geh	7
zwei	7
Thüringen	7
eins	7
brauche	7
Nachricht	7
einzige	7
Soldaten	6
Heraklius	6
desto	6
ward	6
brauchen	6
weniger	6
gehabt	6
ganze	6
Bedienten	6
sagt	6
Freilich	6
Schwester	6
vielleicht	6
Louisdor	6
nochmals	6
gib	6
Eben	6
heißen	6
Männer	6
ehrlicher	6
konnte	6
gestern	6
hoffen	6
wegen	6
Kurz	6
sag	6
lernen	6
Wohin	6
geh	6
wiederum	6
Mühe	6
Jungfer	6
Krüppel	6
gesehen	6
gnädigen	6
Verlust	6
Marloff	6
Not	6
Ende	6
Justen	6
kennt	6
ziemlich	6
morgen	6
große	6
glauben	6
verloren	6
Herzen	6
erhalten	6
Rechnung	6
Budel	6
zieht	6
länger	6
geblieben	6
müßte	6
schöne	5
glaubte	5
Wünsche	5
Desto	5
sahe	5
Geheimnisse	5
gegangen	5
Vergnügen	5
schämen	5
Sieht	5
unglücklicher	5
erkenne	5
borgen	5
Stolz	5
Wechsel	5
gemacht	5
Tränen	5
wollten	5
sieht	5
me	5
Lachen	5
ehrlichen	5
unglückliche	5
unserm	5
gewohnt	5
Gesellschaft	5
Beutel	5
en	5
kenn	5
gefallen	5
völlig	5
gehe	5
machte	5
dachte	5
verzeihen	5
Erlauben	5
Jahr	5
Güte	5
glücklicher	5
tausend	5
