Title: Die Juden
Number of all tokens: 3747
Nummber of different tokens: 1862

Token	Frequency
Herr	49
wohl	30
wollen	27
Dose	26
werde	24
Herrn	22
sagen	21
meinen	20
gewesen	20
würde	19
Vogt	19
wahr	18
weiß	18
wenig	17
meiner	16
Juden	15
gar	15
gewiß	14
gut	14
eben	14
alles	13
wissen	13
wollte	13
Mann	13
Freund	13
sehen	12
Hand	11
Lisette	11
Ihrem	11
mag	11
Ei	11
Papa	11
Allein	11
ha	11
nehmen	10
Ach	10
andre	9
Uhr	9
gehabt	9
ehrlichen	9
Jude	9
Kerl	9
glaube	9
Freundschaft	9
einige	9
glauben	9
bald	9
liebe	9
geben	8
recht	8
Vergnügen	8
erst	8
Zeit	8
meines	8
fragen	8
reden	8
sonst	8
kömmt	8
Bart	8
gern	8
denken	8
Vielleicht	8
sehe	8
Wahrheit	8
getan	8
Diener	8
Seite	7
Geier	7
Ha	7
vielleicht	7
fort	7
deswegen	7
unser	7
würden	7
steht	7
Gott	7
Nu	7
ichs	7
Glück	7
wären	6
Fräulein	6
Herz	6
Bedienten	6
sage	6
Geschenk	6
beinahe	6
Vermögen	6
lange	6
ehrlicher	6
Freunde	6
ei	6
Leute	6
Mamsell	6
könnten	6
Teufel	6
zufrieden	6
Stande	6
länger	6
Geht	6
finden	6
weit	6
keinen	6
Umstände	6
Gut	6
hätten	6
böse	6
Liebe	6
seid	6
könnt	5
Frage	5
Verzeihen	5
ganze	5
gehn	5
sagte	5
gekommen	5
lieber	5
hatten	5
Tag	5
nimmt	5
gestern	5
Verdacht	5
wert	5
geht	5
tut	5
Grobheit	5
Menschen	5
Ehre	5
Mühe	5
fallen	5
sei	5
Namen	5
gestehn	5
silberne	5
wenigstens	5
gesagt	5
Spaß	5
Ernst	5
etwa	5
Christen	5
Wohltat	5
freilich	5
allein	5
gesehen	4
Eure	4
kaum	4
Vermutungen	4
verschwiegen	4
übel	4
weniger	4
bitten	4
Bedienter	4
Tochter	4
Dienste	4
andern	4
genug	4
Garten	4
Krumm	4
leiden	4
wollten	4
ließ	4
selber	4
Flucht	4
Vergeltung	4
Tobaksdose	4
unsern	4
Leuten	4
Martin	4
gefallen	4
antworten	4
verdienen	4
Jahr	4
dergleichen	4
Abreise	4
meinigen	4
nu	4
verstehs	4
kennen	4
besser	4
Euren	4
nötig	4
bitte	4
geirrt	4
dienen	4
begleiten	4
Kleinigkeit	4
Recht	4
Schuldigkeit	4
Henker	4
kein	4
Reden	4
bekommen	4
höchst	4
übereilt	4
Gedanken	4
Händen	4
Großmut	4
klug	4
unschuldig	4
habt	4
heute	4
näher	4
sitzen	4
leicht	4
Frauenzimmers	4
Himmel	4
Augen	4
denke	4
befehlen	4
halten	4
guten	4
Gefahr	4
wollt	4
älter	4
vorhin	4
stehen	4
sehn	4
allezeit	4
entdecken	4
Jungfer	4
schöne	3
Dankbarkeit	3
heraus	3
kehren	3
glaubte	3
Augenblick	3
Stunde	3
wollens	3
deiner	3
Dero	3
wenigen	3
darnach	3
beides	3
Räuber	3
Jahre	3
klein	3
schäme	3
gefällt	3
könne	3
fragt	3
Zweifel	3
Fasson	3
sprechen	3
Wollte	3
niemals	3
dürfte	3
beschwerlich	3
Volk	3
Bitte	3
sieht	3
mirs	3
behaupten	3
Unrecht	3
gefunden	3
ertappt	3
unserm	3
groß	3
Fremden	3
Verdrüßlichkeiten	3
grob	3
hören	3
Munde	3
schuldig	3
Ursachen	3
gehe	3
Schnupftabaksdose	3
Furcht	3
Weg	3
Gesetzt	3
setzt	3
verlegen	3
umbringen	3
unsre	3
Sache	3
sauer	3
befohlen	3
Dosen	3
hör	3
hieher	3
fein	3
Mantelsäcke	3
einander	3
gehört	3
gleichwohl	3
genommen	3
Exempel	3
alt	3
empfindlich	3
Reise	3
leid	3
Diebe	3
alsdann	3
komm	3
Mords	3
nimmermehr	3
endlich	3
geringste	3
abpacken	3
Hurtig	3
urteilen	3
silbernen	3
Hören	3
Hunger	3
dumm	3
Dank	3
Durst	3
erkenntlich	3
verlassen	3
scheinen	3
redt	3
Pferde	3
hinter	3
geglaubt	3
Frauenzimmer	3
Ah	3
Leben	3
zornig	3
Euer	3
dummer	3
dahin	3
Paar	3
Meilen	3
geschenkt	3
suchen	3
Stunden	3
oft	3
gute	3
wußte	3
Drum	3
zwei	3
müßte	3
glaubt	3
Säue	2
Sprache	2
jemals	2
entfliehen	2
geworden	2
Erkenntlichkeit	2
verfolgen	2
annehmen	2
bezahlen	2
Unglücke	2
Mangel	2
dankbar	2
Gefälligkeit	2
Acht	2
Mantelsack	2
sicher	2
laß	2
zieht	2
zielen	2
höre	2
Neugierde	2
Hülfe	2
gelassen	2
verstellt	2
verbindlich	2
erlaubt	2
falsch	2
Antrag	2
Unvorsichtigkeit	2
Wißt	2
Ihrigen	2
Wort	2
Eigenschaften	2
